Title,Author,Keywords,Description
Pattern Recognition and Machine Learning,Christopher M. Bishop,"Machine Learning, Statistics, AI, Pattern Recognition, Algorithms","This is a foundational textbook on machine learning that provides a comprehensive introduction to the fields of pattern recognition and machine learning. It is aimed at advanced undergraduates or first-year PhD students, as well as researchers and practitioners."
Deep Learning with Python,Francois Chollet,"Deep Learning, Python, Keras, Neural Networks, Computer Vision","This book, written by the creator of Keras, introduces the field of deep learning using the Python language and the powerful Keras library. It provides a hands-on approach to learning and building neural networks."
Introduction to Algorithms,Thomas H. Cormen,"Algorithms, Data Structures, Computer Science, Programming","A comprehensive and classic textbook on algorithms and data structures. It covers a broad range of algorithms in depth, yet makes their design and analysis accessible to all levels of readers."
Artificial Intelligence: A Modern Approach,Stuart Russell & Peter Norvig,"Artificial Intelligence, AI, Logic, Search, Robotics, NLP","The most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence. It is the leading textbook in its field, covering intelligent agents, search, knowledge representation, and natural language processing (NLP)."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"History, Anthropology, Sociology, Evolution","A landmark book that explores the history of humankind, from the stone age to the present day. It examines how Homo sapiens came to dominate the planet and what this means for our future."
"Thinking, Fast and Slow",Daniel Kahneman,"Psychology, Economics, Decision Making, Behavioral Science","A fascinating look into the two systems that drive the way we think. System 1 is fast and emotional; System 2 is slower and more logical. The book reveals the extraordinary capabilities, and also the faults and biases, of fast thinking."
Principles of Marketing,Philip T. Kotler,"Marketing, Business, Strategy, Management, Advertising","The authoritative guide for marketing students and professionals. This book provides a comprehensive overview of marketing principles, from customer value and engagement to sustainable marketing."
Campbell Biology,Lisa A. Urry,"Biology, Science, Genetics, Ecology, Evolution","The unsurpassed leader in introductory biology. The text provides students with a solid foundation in college-level biology, with a focus on evolution, energy transfer, and information flow."
The Lean Startup,Eric Ries,"Entrepreneurship, Business, Startups, Innovation, Product Management",A modern approach to building companies and launching new products. This book advocates for continuous innovation and a scientific approach to creating and managing successful startups.
A People's History of the United States,Howard Zinn,"History, American History, Politics, Social Studies","A classic work of American history that tells the story from the point of view of, and in the words of, America's women, factory workers, African Americans, Native Americans, the working poor, and immigrant laborers."
